STT	漢字	Hán Việt	ひらがな	Nghĩa	Chưa thuộc	Từ loại
143	名刺	Danh thích	めいし	Danh thiếp		
144	交換	Giao hoán	こうかん	Trao đổi		
145	免許	Miễn hứa	めんきょ	Giấy phép		
146	必要（な）	Tất yếu	ひつよう	Cần thiết		
147	調理師	Điều lý sư	ちょうりし	Đầu bếp		
148	多く	Đa	おおく	Nhiều		
149	前半	Tiền bán	ぜんはん	Phần đầu		
150	後半	Hậu bán	こうはん	Phần sau		
151	退屈	Thoái khuất	たいくつ	Buồn tẻ, chán ngắt		
152	最高	Tối cao	さいこう	Cao nhất		
153	最低	Tối đê	さいてい	Thấp nhất		
154	最初	Tối sơ	さいしょ	Đầu tiên		
155	最後	Tối hậu	さいご	Cuối cùng		
156	花束	Hoa thúc	はなたば	Bó hoa		
157	自動	Tự động	じどう	Tự động		
158	種類	Chủng loại	しゅるい	Chủng loại		
159	性格	Tính cách	せいかく	Tính cách		
160	性質	Tính chất	せいしつ	Tính chất		
161	布	Bố	ぬの	Vải		
162	順番	Thuận phiên	じゅんばん	Thứ tự		
163	発表	Phát biểu	はっぴょう	Phát biểu		
164	商品	Thương phẩm	しょうひん	Phần thưởng		
165	番	Phiên	ばん	Lượt		
166	方法	Phương pháp	ほうほう	Phương pháp		
167	検査	Kiểm tra	ちょうさ	Kiểm tra		
168	完成	Hoàn thành	かんせい	Hoàn thành		
169	製品	Chế phẩm	せいひん	Sản phẩm, thành phẩm		
170	値上がり	Trị thượng	ねあがり	Tăng giá		
171	生	Sinh	なま	Tươi, mới (chưa chế biến		
172	渇く	Khát	かわく	Khát		
173	嗅ぐ	Khứu	かぐ	Ngửi		
174	叩く	Khấu	たたく	Vỗ, đánh, gõ		
175	お尻	Khào	おしり	Mông		
176	殴る	Ẩu	なぐる	Đánh		
177	蹴る	Xúc	ける	Đá		
178	抱く	Bão	だく	Ôm		
179	両手	Lưỡng thủ	りょうて	Hai tay		
180	台風	Đài phong	たいふう	Bão		
181	倒れる	Đảo	たおれる	Bị gãy,đổ,rơi		
182	倒す	Đảo	たおす	Chặt đổ, quật ngã		
183	起きる	Khởi	おきる	Thức dậy		
184	起こす	Khởi	おこす	Đánh thức		
185	尋ねる	Tầm	たずねる	Hỏi, thăm hỏi		
186	呼ぶ	Hô	よぶ	Gọi		
187	叫ぶ	Khiếu	さけぶ	Gào, hét, rú lên		
188	黙る	Mặc	だまる	Im lặng		
189	飼う	Tự	かう	Nuôi		
190	数える	Số	かぞえる	Đếm		
191	数	Số	かず	Số		
192	乾く	Can	かわく	Khô		
193	乾かす	Can	かわかす	Làm khô		
194	濡れる	Nhu	ぬれる	Ướt		
195	畳む	Điệp	たたむ	Gấp, gập, xếp		
196	畳	Điệp	じょう	Cái chiếu		
197	誘う	Dụ	さそう	Mời , rủ		
198	奢る	Xa	おごる	Chiêu đãi, khao		
199	預かる	Dự	あずかる	Chăm sóc, trông nom		
200	預ける	Dự	あずける	Giao cho, gửi		
201	決まる	Quyết	きまる	Bị quyết định		
202	決める	Quyết	きめる	Quyết định		
203	が　写る	Tả	うつる	Được chụp		
204	写す	Tả	うつす	Chụp lại		
205	思い出す	Tư xuất	おもいだす	Nhớ nhung		
206	教わる	Giáo	おそわる	Được dạy		
207	申し込む	Thân nhập	もうしこむ	Đăng kí		
208	断る	Đoạn	ことわる	Từ chối		
209	指輪	Chỉ luân	ゆびわ	Nhẫn		
210	見つかる	Kiến	みつかる	Được tìm thấy		
211	見つける	Kiến	みつける	Tìm thấy		
212	捕まる	Bộ	つかまる	Bị bắt, bị tóm		
213	捕まえる	Bộ	つかまえる	Đi bắt		
214	乗る	Thừa	のる	Lên		
215	乗せる	Thừa	のせる	Cho lên, xếp lên		
216	下りる,降りる	Hạ, Giáng	おりる	Xuống		
217	下ろす、降ろす	Hạ, Giáng	おろす	Cho xuống		
218	直る	Trực	なおる	Được sửa, sửa chữa		
219	直す	Trực	なおす	Sửa xong		
220	治る	Trị	なおる	Khôi phục		
221	治す	Trị	なおす	Chữa trị		
222	亡くなる	Vong	なくなる	Chết		
223	亡くす	Vong	なくす	Mất		
224	父親	Phụ thân	ちちおや	Cha mẹ		
225	生まれる	Sinh	うまれる	Được sinh ra		
226	産む	Sản	うむ	Sinh, đẻ		
227	先日	Tiên nhật	せんじつ	Mấy ngày trước		
228	出会う	Xuất hội	であう	Gặp gỡ ngẫu nhiên		
229	訪ねる	Phỏng	たずねる	Thăm, ghé thăm		
230	付き合う	Phó hợp	つきあう	Hẹn hò		
231	効く	Hiệu	きく	Hiệu quả		
232	頭痛	Đầu thống	ずつう	Đau đầu		
233	流行する	Lưu hành	りゅうこうする	Lưu hành		
234	経つ	Kinh	たつ	Trải qua		
235	間に合う	Gian hợp	まにあう	Kịp giờ		
236	間に合わせる	Gian hợp	まにあわせる	Đúng giờ		
237	通う	Thống	かよう	Đi đi về về		
238	込む	Nhập	こむ	Đông, tắc		
239	すれ違う	Vi	すれちがう	Vượt qua, lướt qua		
240	動く	Động	うごく	Bị chuyển động		
241	動かす	Động	うごかす	Di chuyển		
242	離れる	Ly	はなれる	Tách rời		
243	離す	Ly	はなす	Để xa ra, làm tránh ra		
244	ぶつかる			Bị đâm		
245	ぶつける			Đâm vào		
246	涙	Lệ	なみだ	Nước mắt		
247	溢れる	Dật	こぼれる	Tràn ra		
248	溢す	Dật	こぼす	Làm tràn ra		
249	拭く	Thức	ふく	Lau, chùi, gạt		
250	片付く	Phiến phó	かたづく	Ngăn nắp		
251	片付ける	Phiến phó	かたづける	Dọn dẹp		
252	包む	Bao	つつむ	Bọc		
253	貼る	Thiếp	はる	Dán		
254	無くなる	Vô	なくなる	Bị mất		
255	無くす	Vô	なくす	Làm mất		
256	足りる	Túc	たりる	Đủ		
257	収入	Thu nhập	しゅうにゅう	Thu nhập		
258	残る	Tàn	のこる	Còn lại, sót lại		
259	残す	Tàn	のこす	Thừa lại, sót lại		
260	腐る	Hủ	くさる	Ôi, thiu		
261	剥ける	Bác	むける	Bóc, gọt		
262	剥く	Bác	むく	Bóc, gọt		
263	滑る	Hoạt	すべる	Trượt		
264	雪	Tuyết	ゆき	Tuyết		
265	積もる	Tích	つもる	Chất đống		
266	積む	Tích	つむ	Để lên, chất lên		
267	空く	Không	あく	Trống rỗng, vắng vẻ		
268	空ける	Không	あける	Giữ chỗ		
269	下がる	Hạ	さがる	Giảm		
270	下げる	Hạ	さげる	Hạ xuống		
271	冷える	Lãnh	ひえる	Lạnh, cóng		
272	冷やす	Lãnh	ひやす	Làm lạnh		
273	冷める	Lãnh	さめる	Nguội		
274	冷ます	Lãnh	さます	Làm nguội		
275	燃える	Nhiên	もえる	Cháy		
276	燃やす	Nhiên	もやす	Đốt cháy		
277	沸く	Phất	わく	Nước sôi		
278	沸かす	Phất	わかす	Đun sôi		
279	お湯	Thang	おゆ	Nước nóng,sôi		
280	鳴る	Minh	なる	Kêu		
281	鳴らす	Minh	ならす	Làm cho kêu		
282	役に立つ	Dịch lập	やくにたつ	Có tác dụng		
283	役に立てる	Dịch lập	やくにたてる	Có tác dụng, có ích		
284	飾る	Sức	かざる	Trang trí		
285	遊ぶ	Du	あそぶ	Chơi		
286	集まる	Tập	あつまる	Sưu tập		
287	踊る	Dũng	おどる	Nhảy		
288	思う	Tư	おもう	Suy nghĩ		
289	考える	Khảo	かんがえる	Nghĩ		
290	手伝う	Thủ truyền	てつだう	Giúp đỡ		
291	働く	Động	はたらく	Hoạt động		
292	決まる	Quyết	きまる	Luật lệ, quy định		
293	騒ぐ	Tao	さわぐ	Làm ồn,rùng beng		
294	知らせる	Tri	しらせる	Thông báo		
295	頼む	Lại	たのむ	Nhờ vả		
296	疲れる	Bì	つかれる	Mệt		
297	違う	Vi	ちがう	Khác		
298	始める	Thủy	はじめる	Bắt đầu		
299	続く	Tục	つづく	Tiếp tục		
300	暮れる	Mộ 	くれる	Lặn(mặt trời, hết(ngày		
301	別れる	Biệt	わかれる	Chia tay, ly biệt		
302	喜ぶ	Hỉ	よろこぶ	Hạnh phúc		
303	優勝する	Ưu thắng	ゆうしょうする	Vô địch		
304	笑う	Tiếu	わらう	Cười		
305	驚く	Kinh	おどろく	Kinh ngạc		
306	怒る	Nộ	いかる	Nổi giận		
307	殺人	Sát nhân	さつじん	Sát nhân		
308	幸せ（な）	Hạnh	しあわせ	Hạnh phúc		
309	得意（な）	Đắc ý	とくい	Giỏi		
310	苦手（な）	Khổ thủ	にがて	Kém		
311	熱心（な）	Nhiệt tâm	ねっしん	Nhiệt tình		
312	認め	Nhận	みとめ	Thừa nhận		
313	昇進	Thăng tiến	しょうしん	Thăng tiến		
314	夢中（な）	Mộng trung	むちゅう	Say mê		
315	観客	Quan khách	かんきゃく	Khánh hàng		
316	退屈（な）	Thoái khuất	たいくつ	Chán, tẻ nhạt		
317	健康（な）	Kiện khang	けんこう	Khỏe khoắn		
318	育てる	Dục	そだてる	Nuôi dạy		
319	苦しい	Khổ	くるしい	Cực khổ		
320	悪口	Ác khẩu	わるぐち	Nói xấu		
321	平気（な）	Bình khí	へいき	Bình thản		
322	悔しい	Hối	くやしい	Đáng tiếc, đáng ân hận		
323	羨ましい	Tiện	うらやましい	Ghen tị		
324	才能	Tài năng	さいのう	Tài năng		
325	豊か	Phong	ゆたか	Phong phú		
326	蚊	Văn	か	Muỗi		
327	首	Thủ	くび	Cái cổ		
328	痒い	Dưỡng	かゆい	Ngứa		
329	大人しい	Đại nhân	おとなしい	Hiền lành		
330	我慢強い	Ngã mạn cường	がまんづよい	Chịu đựng giỏi		
331	正直（な）	Chính trực	しょうじき	Trung thực		
332	けち（な）			Kiệt xỉ		
333	我儘（な）	Ngã tận	わがまま	Ích kỉ		
334	積極的（な）	Tích cực tính	せっきょくてき	Tính tích cực		
335	消極的（な）	Tiêu cực tính	しょうきょくてき	Tính tiêu cực		
336	満足（な）	Mãn túc	まんぞく	Mãn nguyện		
337	不満（な）	Bất mãn	ふまん	Bất mãn		
338	不安（な）	Bất an	ふあん	Bất an		
339	大変（な）	Đại biến	たいへん	Vất vả		
340	無理（な）	Vô lý	むり	Vô lý		
341	不注意（な）	Bất chú ý	ふちゅうい	Không chú ý		
342	楽（な）	Lạc	らく	Thoải mái, nhàn hạ		
343	面倒（な）	Diện đảo	めんどう	Phiền hà, quấy rầy		
344	手続き	Thủ tục	てつづき	Thủ tục		
345	失礼（な）	Thất lễ	しつれい	Mất lịch sự		
346	当然（な）	Đương nhiên	とうぜん	Đương nhiên		
347	意外（な）	Ý ngoại	いがい	Ngoài ý muốn		
348	調査	Điều tra	ちょうさ	Điều tra		
349	事故	Sự cố	じこ	Tai nạn, sự cố		
350	結構（な）	Kết cấu	けっこう	Tốt, cũng được		
351	派手（な）	Phái thủ	はで	Lòe loẹt, màu mè		
352	地味（な）	Địa vị	じみ	Giản dị, đơn giản		
353	お洒落（な）	Sái lạc	おしゃれ	Thời trang thịnh hành		
354	変（な）	Biến	へん	Lạ, kỳ quặc		
355	不思議（な）	Bất tư nghĩa	ふしぎ	Bí hiểm, kỳ quái		
356	増し（な）	Tăng	まし	Tốt lên		
357	無駄（な）	Vô đả	むだ	Lãng phí		
358	自由（な）	Tự do	じゆう	Tự do		
359	不自由（な）	Bất tự do	ふじゆう	Không tự do, tàn phế		
360	暖まる	Noãn	あたたまる	Ấm lên		
361	暖める	Noãn	あたためる	Làm ấm		
362	高まる	Cao	たかまる	Bốc lên, nâng lên		
363	高める	Cao	たかめる	Làm cho lên, dựng lên		
364	強まる	Cường	つよまる	Khỏe,mạnh lên		
365	強める	Cường	つよめる	Làm khỏe lên		
366	弱まる	Nhược	よわまる	Yếu đi		
367	弱める	Nhược	よわめる	Làm yếu đi		
368	広まる	Quảng	ひろまる	Được lan truyền		
369	広める	Quảng	ひろめる	Loan tin, tuyên truyền		
370	深まる	Thâm	ふかまる	Sâu sắc thêm		
371	深める	Thâm	ふかめる	Làm sâu sắc thêm		
372	世話	Thế thoại	せわ	Giúp đỡ		
373	家庭	Gia đình	かてい	Gia đình		
374	厳しい	Nghiêm	きびしい	Nghiêm khắc		
375	易しい	Dị	やさしい	Dễ		
376	協力する	Hiệp lực	きょうりょくする	Hiệp lực		
377	介護	Giới hộ	かいご	Chăm sóc		
378	感謝する	Cảm tạ	かんしゃする	Cảm ơn, biết ơn		
379	お詫び	Sá	おわび	Xin lỗi		
380	迷惑をかける	Mê hoặc	めいわくをかける	Làm phiền		
381	お辞儀	Từ nghi	おじぎ	Cúi chào		
382	丁寧（な）	Đinh ninh	ていねい	Lịch sự		
383	握手	Ác thủ	あくしゅ	Bắt tay		
384	意地悪する	Ý địa ác	いじわるする	Tâm địa xấu, xấu bụng		
385	悪戯する	Ác hí	いたずらする	Nghịch ngợm		
386	節約する	Tiết ước	せつやくする	Tiết kiệm, dành dụm		
387	生活費	Sinh hoạt phí	せいかつひ	Phí sinh hoạt		
388	経営する	Kinh doanh	けいえいする	Quản lý kinh doanh		
389	反省する	Phản tỉnh	はんせいする	Kiểm điểm		
390	実行する	Thực hành	じっこうする	Thực hành		
391	進歩する	Tiến bộ	しんぽする	Tiến bộ		
392	変化する	Biến hóa	へんかする	Thay đổi		
393	発達する	Phát đạt	はったつする	Phát triển, phát đạt		
394	体力	Thể lực	たいりょく	Thể lực		
395	低下	Đê hạ	ていか	Suy giảm		
396	若者	Nhã giả	わかもの	Giới trẻ		
397	出場する	Xuất trường	しゅつじょうする	Ra mặt, ra mắt(trình diễn		
398	活躍する	Hoạt dược	かつやくする	Hoạt động		
399	競争する	Cạnh tranh	きょうそうする	Cạnh tranh		
400	成績	Thành tích	せいせき	Thành tích		
401	応援する	Ứng viên	おうえんする	Cổ vũ, hỗ trợ		
402	拍手する	Phách thủ	はくしゅする	Vỗ tay		
403	噂する	Đồn	うわさする	Lời đồn, bàn tán		
404	情報	Tình báo	じょうほう	Thông tin		
405	流行する	Lưu hành	りゅうこうする	Lưu hành		
406	交換する	Giao hoán	こうかんする	Trao đổi		
407	宣伝する	Tuyên truyền	せんでんする	Tuyền truyền		
408	広告	Quảng cáo	こうこく	Quảng cáo		
409	注目する	Chú mục	ちゅうもくする	Tập trung sự chú ý		
410	通訳する	Thông dịch	つうやくする	Thông dịch		
411	翻訳する	Phiên dịch	ほんやくする	Phiên dịch		
412	伝言する	Truyền ngôn	でんごんする	Nhắn tin		
413	報告する	Báo cáo	ほうこくする	Báo cáo		
414	録画	Lục họa	ろくが	Ghi hình		
415	混雑する	Hỗn tạp	こんざつする	Hỗn tạp, đông đúc		
416	渋滞する	Sáp trệ	じゅうたいする	Tắc đường, tắc nghẽn		
417	衝突する	Xung đột	しょうとつする	Xung đột, va chạm		
418	場面	Trường diện	ばめん	Hiện trường		
419	被害	Bị hại	ひがい	Thiệt hại		
420	事故	Sự cố	じこ	Tại nạn, sự cố		
421	事件	Sự kiện	じけん	Sự kiện		
422	故障する	Cố chướng	こしょうする	Hỏng hóc, trục trặc		
423	修理する	Tu lý	しゅうりする	Sửa chữa		
424	停電	Đình điện	ていでん	Mất điện		
425	雷	Lôi	かみなり	Sấm sét		
426	調子	Điều tử	ちょうし	Tình trạng		
428	自信	Tự tín	じしん	Tự tin		
429	自慢	Tự mãn	じまん	Tự mãn		
430	関心	Quan tâm	かんしん	Quan tâm		
431	感動する	Cảm động	かんどうする	Cảm động		
432	興奮する	Hưng phấn	こうふんする	Hưng phấn		
433	感想	Cảm tưởng	かんそう	Cảm tưởng		
434	予想する	Dự tưởng	よそうする	Đoán trước, trù liệu		
435	専門	Chuyên môn	せんもん	Chuyên môn		
436	研究する	Nghiên cứu	けんきゅうする	Nghiên cứu		
437	調査する	Điều tra	ちょうさする	Điều tra		
438	原因	Nguyên nhân	げんいん	Nguyên nhân		
439	結果	Kết quả	けっか	Kết quả		
440	解決	Giải quyết	かいけつ	Quải quyết		
441	確かめる	Xác	たしかめる	Xác nhận, kiểm tra		
442	間違う	Gian vi	まちがう	Sai		
443	利用する	Lợi dụng	りようする	Sử dụng		
444	減る	Giảm	へる	Giảm		
445	理解する	Lý giải	りかいする	Lý giải		
446	発見する	Phát kiến	はっけんする	Phát hiện		
447	発明する	Phát minh	はつめいする	Phát minh		
448	関係する	Quan hệ	かんけいする	Quan hệ		
449	団体	Đoàn thể	だんたい	Đoàn thể, nhóm		
450	博物館	Bác học quán	はくぶつかん	Viện bảo tàng		
451	選挙	Tuyển cử	せんきょ	Bầu cử		
452	行う	Hành	おこなう	Tổ chức		
453	税金	Thuế kim	ぜいきん	Tiền thuế		
454	責任	Trách nhiệm	せきにん	Trách nhiệm		
455	書類	Thư loại	しょるい	Giấy tờ		
456	題名	Đề danh	だいめい	Nhan đề		
457	条件	Điều kiện	じょうけん	Điều kiện		
458	採用	Thải dụng	さいよう	Tuyển dụng		
459	締め切り	Đế thiết	しめきり	Hạn cuối		
460	期間	Kì gian	きかん	期間		
461	倍	Bối	ばい	Gấp đôi		
462	近道	Cận đạo	ちかみち	Đường tắt		
463	中心	Trung tâm	ちゅうしん	Trung tâm		
464	辺り	Biên	あたり	Xung quanh		
465	周り	Chu	まわり	Xung quanh		
466	穴	Huyệt	あな	Lỗ		
467	地面	Địa diện	じめん	Mặt đất		
468	掘る	Quật	ほる	Đào		
469	列	Liệt	れつ	Hàng ( xếp hàng		
470	幅	Phúc	はば	Chiều rộng		
471	範囲	Phạm vi	はんい	Phạm vi		
472	内容	Nội dung	ないよう	Nội dung		
473	中身	Trung thân	なかみ	Nội dung bên trong		
474	特徴	Đặc trưng	とくちょう	Đặc trưng		
475	普通	Phổ thông	ふつう	Phổ thông, thông thường		
476	当たり前	Đương tiền	あたりまえ	Dĩ nhiên		
477	偽	Ngụy	にせ	Giả (giả dối		
478	別れる	Biệt	わかれる	Chia tay, ly biệt		
479	国籍	Quốc tịch	こくせき	Quốc tịch		
480	東洋	Đông dương	とうよう	Phương Đông		
481	西洋	Tây dương	せいよう	Phương Tây		
482	比べる	Tỷ	くらべる	So sánh		
483	文化	Văn hóa	ぶんか	Văn hóa		
484	国際	Quốc tế	こくさい	Quốc tế		
485	支社	Chi xã	ししゃ	Chi nhánh		
486	企業	Xí nghiệp	きぎょう	Công ty, xí nghiệp		
487	発展	Phát triển	はってん	Phát triển		
488	自然	Tự nhiên	しぜん	Tự nhiên		
489	景色	Cảnh sắc	けしき	Phong cảnh		
490	宗教	Tôn giáo	しゅうきょう	Tôn giáo		
491	愛	Ái	あい	Yêu		
492	が　届く	Giới	とどく	Được gửi đến		
493	届ける	Giới	とどける	Chuyển đến		
494	掻く	Tao	かく	Gãi, cào, bới		
495	掴む	Quặc	つかむ	Tóm, chộp		
496	びっくりする			Ngạc nhiên, giật mình		
497	握る	Ác	にぎる	Bắt, bíu, nắm		
498	押さえる	Áp	おさえる	Giữ, ôm(bụng		
499	が　近づく	Cận	ちかづく	Đến gần, tới gần		
500	近づける	Cận	ちかづける	Kết thân, mang lại gần		
501	が　合う	Hợp	あう	Chạm mặt		
502	不図	Bất đồ	ふと	Đột nhiên		
503	合わせる	Hợp	あわせる	Hiệp sức		
504	が　当たる	Đương	あたる	Bị đánh		
505	当てる	Đương	あてる	Đánh trúng		
506	比べる	Tỷ	くらべる	So sánh		
507	似合う	Tự hợp	にあう	Hợp		
508	似る	Tự	にる	Giống		
509	似せる	Tự	にせる	Bắt chước		
510	が　分かれる	Phân	わかれる	Phân chia		
511	分ける	Phân	わける	Chia 		
512	財産	Tài sản	ざいさん	Tài sản		
513	足す	Túc	たす	Cộng vào, thêm vào		
514	薄い	Bạc	うすい	Nhạt, mỏng		
515	塩	Diêm	しお	Muối		
516	引く	Dẫn	ひく	Trừ		
517	が　増える	Tăng	ふえる	Tăng lên		
518	増やす	Tăng	ふやす	Làm tăng lên		
519	が　減る	Giảm	へる	Giảm 		
520	減らす	Giảm	へらす	Làm giảm		
521	店長	Điếm trường	てんちょう	Chủ tiệm		
522	が　返る	Phản	かえる	Được trả lại		
523	返す	Phản	かえす	Trả lại		
524	譲る	Nhượng	ゆずる	Nhường nhin, nhượng bộ		
525	が　助かる	Trợ	たすかる	Được giúp		
526	助ける	Trợ	たすける	Giúp đỡ		
527	虐める	Ngược	いじめる	Bị bắt nạt		
528	騙す	Phiến	だます	Lừa đảo, lạm dụng		
529	独身	Độc thân	どくしん	Độc thân		
530	女性	Nữ giới	じょせい	Nữ giới		
